ORG_KSSS,date,Прогноз,Чеки дневные,Чеки ночные
1059,2026-02-01,543.0,423.0,120.0
1059,2026-02-02,540.0,420.0,120.0
1059,2026-02-03,535.0,416.0,119.0
1059,2026-02-04,537.0,418.0,119.0
1059,2026-02-05,564.0,439.0,125.0
1059,2026-02-06,444.0,345.0,98.0
1059,2026-02-07,408.0,317.0,91.0
1059,2026-02-08,534.0,416.0,119.0
1059,2026-02-09,532.0,414.0,118.0
1059,2026-02-10,534.0,415.0,118.0
1059,2026-02-11,534.0,416.0,119.0
1059,2026-02-12,563.0,438.0,125.0
1059,2026-02-13,437.0,340.0,97.0
1059,2026-02-14,409.0,319.0,91.0
1059,2026-02-15,533.0,415.0,118.0
1059,2026-02-16,531.0,413.0,118.0
1059,2026-02-17,533.0,415.0,118.0
1059,2026-02-18,534.0,415.0,118.0
1059,2026-02-19,563.0,438.0,125.0
1059,2026-02-20,436.0,339.0,97.0
1059,2026-02-21,409.0,319.0,91.0
1059,2026-02-22,532.0,414.0,118.0
1059,2026-02-23,531.0,413.0,118.0
1059,2026-02-24,533.0,415.0,118.0
1059,2026-02-25,533.0,415.0,118.0
1059,2026-02-26,563.0,438.0,125.0
1059,2026-02-27,436.0,339.0,97.0
1059,2026-02-28,409.0,318.0,91.0
1060,2026-02-01,1295.0,948.0,347.0
1060,2026-02-02,1521.0,1114.0,407.0
1060,2026-02-03,1600.0,1171.0,428.0
1060,2026-02-04,1644.0,1204.0,440.0
1060,2026-02-05,1680.0,1230.0,450.0
1060,2026-02-06,1687.0,1235.0,452.0
1060,2026-02-07,1480.0,1084.0,396.0
1060,2026-02-08,1373.0,1005.0,368.0
1060,2026-02-09,1536.0,1125.0,411.0
1060,2026-02-10,1577.0,1155.0,422.0
1060,2026-02-11,1602.0,1173.0,429.0
1060,2026-02-12,1626.0,1191.0,436.0
1060,2026-02-13,1685.0,1233.0,451.0
1060,2026-02-14,1488.0,1090.0,399.0
1060,2026-02-15,1346.0,986.0,361.0
1060,2026-02-16,1467.0,1074.0,393.0
1060,2026-02-17,1538.0,1126.0,412.0
1060,2026-02-18,1568.0,1148.0,420.0
1060,2026-02-19,1603.0,1174.0,429.0
1060,2026-02-20,1696.0,1242.0,454.0
1060,2026-02-21,1479.0,1083.0,396.0
1060,2026-02-22,1291.0,945.0,346.0
1060,2026-02-23,1483.0,1086.0,397.0
1060,2026-02-24,1543.0,1130.0,413.0
1060,2026-02-25,1547.0,1132.0,414.0
1060,2026-02-26,1553.0,1137.0,416.0
1060,2026-02-27,1633.0,1196.0,437.0
1060,2026-02-28,1488.0,1089.0,398.0
