АЗС,Лучшая модель,MAPE
2886,RandomForest,3.697
2880,RandomForest,4.127
2896,RandomForest,4.166
3063,HoltWinters,5.156
3127,HoltWinters,5.159
2911,SARIMAX,5.217
3126,HoltWinters,5.416
2877,RandomForest,5.452
3008,RandomForest,5.523
3056,SARIMAX,5.618
2994,HoltWinters,5.638
2891,SARIMAX,5.657
2993,RandomForest,5.779
2910,HoltWinters,5.801
3128,RandomForest,5.844
2908,SARIMAX,6.043
2892,RandomForest,6.063
2887,RandomForest,6.16
2996,HoltWinters,6.162
2890,HoltWinters,6.2
2912,RandomForest,6.295
2903,RandomForest,6.393
3062,RandomForest,6.463
2904,SARIMAX,6.716
3065,HoltWinters,6.794
2888,RandomForest,6.891
3011,SARIMAX,6.968
2998,SARIMAX,7.027
2909,SARIMAX,7.126
2907,RandomForest,7.152
3048,SARIMAX,7.23
3049,SARIMAX,7.366
2900,HoltWinters,7.505
2889,HoltWinters,7.613
3023,HoltWinters,7.703
3129,SARIMAX,7.787
2999,RandomForest,7.819
3066,RandomForest,7.948
2894,RandomForest,8.105
2997,SARIMAX,8.284
2882,RandomForest,8.319
2883,RandomForest,8.551
3064,RandomForest,8.871
2988,HoltWinters,9.26
3031,HoltWinters,9.699
3007,HoltWinters,9.85
3059,RandomForest,10.216
3024,HoltWinters,10.493
2879,SARIMAX,10.58
2901,HoltWinters,10.59
2987,RandomForest,10.615
2906,SARIMAX,10.634
2902,RandomForest,10.703
3067,RandomForest,10.749
2992,SARIMAX,11.127
3004,HoltWinters,11.229
3009,SARIMAX,11.265
3006,SARIMAX,11.272
3054,SARIMAX,11.314
3057,SARIMAX,11.465
2895,RandomForest,11.546
3124,RandomForest,11.849
3060,RandomForest,12.057
2930,RandomForest,12.471
2982,HoltWinters,12.74
2995,HoltWinters,12.753
3125,HoltWinters,15.464
3000,RandomForest,16.099
3002,SARIMAX,17.782
3050,HoltWinters,17.84
3052,HoltWinters,18.714
2899,HoltWinters,18.982
2905,HoltWinters,21.235
2893,SARIMAX,27.599
3055,RandomForest,70.47
